time (us),flowVelocityX[cm/s],secFlowVelocityX[cm/s]
38281780,0,0
38282773,0,0
38283768,0,0
38284772,0,0
38285776,0,0
38286779,0,0
38287815,0,0
38288803,0,0
38289797,0,0
38290790,0,0
38291795,0,0
38292799,0,0
38293798,0,0
38294811,0,0
38295825,0,0
38296809,0,0
38297816,0,0
38298824,0,0
38299825,0,0
38300865,0,0
38301848,0,0
38302835,0,0
38303840,0,0
38304841,0,0
38305852,0,0
38306847,0,0
38307880,0,0
38308867,0,0
38309855,0,0
38310861,0,0
38311868,0,0
38312870,0,0
38313870,0,0
38314906,0,0
38315879,0,0
38316879,0,0
38317882,0,0
38318884,0,0
38319894,0,0
38320896,0,0
38321937,0,0
38322926,0,0
38323915,0,0
38324918,0,0
38325924,0,0
38326930,0,0
38327944,0,0
38328951,0,0
38329943,0,0
38330940,0,0
38331953,0,0
38332964,0,0
38333976,0,0
38334965,0,0
38335986,0,0
38337041,0,0
38338040,0,0
38339042,0,0
38340057,0,0
38341091,0,0
38342075,0,0
38343061,0,0
38344064,0,0
38345065,0,0
38346065,0,0
38347068,0,0
38348071,0,0
38349087,0,0
38350084,0,0
38351085,0,0
38352094,0,0
38353099,0,0
38354126,0,0
38355117,0,0
38356100,0,0
38357101,0,0
38358106,0,0
38359106,0,0
38360111,0,0
38361149,0,0
38362140,0,0
38363125,0,0
38364144,0,0
38365152,0,0
38366158,0,0
38367163,0,0
38368172,0,0
38369192,0,0
38370188,0,0
38371190,0,0
38372196,0,0
38373201,0,0
38374232,0,0
38375220,0,0
38376202,0,0
38377207,0,0
38378207,0,0
38379213,0,0
38380218,0,0
38381249,0,0
38382216,0,0
38383231,0,0
38384224,0,0
38385226,0,0
38386230,0,0
38387260,0,0
38388247,0,0
38389271,0,0
38390266,0,0
38391259,0,0
38392260,0,0
38393273,0,0
38394310,0,0
38395294,0,0
38396286,0,0
38397284,0,0
38398285,0,0
38399285,0,0
38400288,0,0
38401313,0,0
38402312,0,0
38403310,0,0
38404314,0,0
38405318,0,0
38406319,0,0
38407348,0,0
38408335,0,0
38409358,0,0
38410343,0,0
38411358,0,0
38412356,0,0
38413359,0,0
38414397,0,0
38415366,0,0
38416370,0,0
38417372,0,0
38418372,0,0
38419374,0,0
38420381,0,0
38421405,0,0
38422415,0,0
38423408,0,0
38424404,0,0
38425412,0,0
38426421,0,0
38427457,0,0
38428439,0,0
38429432,0,0
38430432,0,0
38431448,0,0
38432443,0,0
38433456,0,0
38434489,0,0
38435475,0,0
38436460,0,0
38437468,0,0
38438467,0,0
38439470,0,0
38440474,0,0
38441497,0,0
38442497,0,0
38443490,0,0
38444491,0,0
38445489,0,0
38446495,0,0
38447527,0,0
38448520,0,0
38449503,0,0
38450506,0,0
38451521,0,0
38452523,0,0
38453528,0,0
38454556,0,0
38455543,0,0
38456563,0,0
38457563,0,0
38458564,0,0
38459569,0,0
38460587,0,0
38461591,0,0
38462596,0,0
38463592,0,0
38464590,0,0
38465589,0,0
38466592,0,0
38467630,0,0
38468619,0,0
38469604,0,0
38470611,0,0
38471619,0,0
38472617,0,0
38473626,0,0
38474644,0,0
38475639,0,0
38476625,0,0
38477625,0,0
38478634,0,0
38479627,0,0
38480662,0,0
38481704,0,0
38482678,0,0
38483686,0,0
38484687,0,0
38485696,0,0
38486701,0,0
38487751,0,0
38488736,0,0
38489730,0,0
38490739,0,0
38491739,0,0
38492739,0,0
38493752,0,0
38494759,0,0
38495766,0,0
38496757,0,0
38497764,0,0
38498772,0,0
38499775,0,0
38500813,0,0
38501801,0,0
38502798,0,0
38503803,0,0
38504800,0,0
38505801,0,0
38506808,0,0
38507847,0,0
38508827,0,0
38509823,0,0
38510826,0,0
38511829,0,0
38512840,0,0
38513852,0,0
38514888,0,0
38515854,0,0
38516856,0,0
38517858,0,0
38518863,0,0
38519868,0,0
38520914,0,0
38521897,0,0
38522892,0,0
38523897,0,0
38524899,0,0
38525901,0,0
38526906,0,0
38527933,0,0
38528930,0,0
38529915,0,0
38530917,0,0
38531925,0,0
38532937,0,0
38533946,0,0
38534940,0,0
38535955,0,0
38536945,0,0
38537948,0,0
38538949,0,0
38539957,0,0
38540998,0,0
38541977,0,0
38542969,0,0
38543975,0,0
38544968,0,0
38545974,0,0
38546983,0,0
38548009,0,0
38549005,0,0
38549988,0,0
38550992,0,0
38551993,0,0
38553002,0,0
38554025,0,0
38555009,0,0
38556027,0,0
38557019,0,0
38558024,0,0
38559028,0,0
38560032,0,0
38561069,0,0
38562090,0,0
38563077,0,0
38564085,0,0
38565081,0,0
38566086,0,0
38567087,0,0
38568097,0,0
38569106,0,0
38570093,0,0
38571099,0,0
38572098,0,0
38573103,0,0
38574147,0,0
38575134,0,0
38576118,0,0
38577118,0,0
38578118,0,0
38579121,0,0
38580123,0,0
38581173,0,0
38582154,0,0
38583141,0,0
38584144,0,0
38585147,0,0
38586150,0,0
38587153,0,0
38588158,0,0
38589175,0,0
38590169,0,0
38591173,0,0
38592166,0,0
38593171,0,0
38594220,0,0
38595361,0,0
38596351,0,0
38597354,0,0
38598360,0,0
38599364,0,0
38600365,0,0
38601378,0,0
38602385,0,0
38603376,0,0
38604388,0,0
38605386,0,0
38606382,0,0
38607426,0,0
38608414,0,0
38609404,0,0
38610403,0,0
38611408,0,0
38612410,0,0
38613415,0,0
38614473,0,0
38615436,0,0
38616434,0,0
38617444,0,0
38618435,0,0
38619441,0,0
38620450,0,0
38621458,0,0
38622472,0,0
38623460,0,0
38624476,0,0
38625475,0,0
38626480,0,0
38627519,0,0
38628501,0,0
38629486,0,0
38630490,0,0
38631496,0,0
38632498,0,0
38633505,0,0
38634558,0,0
38635534,0,0
38636526,0,0
38637528,0,0
38638530,0,0
38639536,0,0
38640540,0,0
38641600,0,0
38642578,0,0
38643579,0,0
38644593,0,0
38645593,0,0
38646596,0,0
38647634,0,0
38648621,0,0
38649600,0,0
38650605,0,0
38651612,0,0
38652606,0,0
38653608,0,0
38654640,0,0
38655631,0,0
38656622,0,0
38657620,0,0
38658622,0,0
38659628,0,0
38660644,0,0
38661628,0,0
38662648,0,0
38663635,0,0
38664644,0,0
38665644,0,0
38666648,0,0
38667688,0,0
38668678,0,0
38669673,0,0
38670684,0,0
38671680,0,0
38672683,0,0
38673689,0,0
38674704,0,0
38675710,0,0
38676698,0,0
38677696,0,0
38678697,0,0
38679701,0,0
38680739,0,0
38681738,0,0
38682727,0,0
38683728,0,0
38684732,0,0
38685734,0,0
38686747,0,0
38687815,0,0
38688796,0,0
38689785,0,0
38690798,0,0
38691796,0,0
38692797,0,0
38693802,0,0
38694822,0,0
38695837,0,0
38696826,0,0
38697833,0,0
38698840,0,0
38699838,0,0
38700877,0,0
38701867,0,0
38702854,0,0
38703856,0,0
38704867,0,0
38705870,0,0
38706872,0,0
38707915,0,0
38708898,0,0
38709892,0,0
38710895,0,0
38711896,0,0
38712898,0,0
38713899,0,0
38714941,0,0
38715908,0,0
38716910,0,0
38717913,0,0
38718915,0,0
38719918,0,0
38720975,0,0
38721942,0,0
38722929,0,0
38723930,0,0
38724941,0,0
38725948,0,0
38726942,0,0
38727982,0,0
38728967,0,0
38729959,0,0
38730965,0,0
38731970,0,0
38732976,0,0
38733997,0,0
38734993,0,0
38736011,0,0
38736992,0,0
38737993,0,0
38738994,0,0
38739994,0,0
38741037,0,0
38742022,0,0
38743007,0,0
38744013,0,0
38745019,0,0
38746024,0,0
38747026,0,0
38748066,0,0
38749035,0,0
38750042,0,0
38751049,0,0
38752053,0,0
38753063,0,0
38754095,0,0
38755199,0,0
38756216,0,0
38757188,0,0
38758192,0,0
38759193,0,0
38760201,0,0
38761248,0,0
38762230,0,0
38763215,0,0
38764221,0,0
38765231,0,0
38766231,0,0
38767235,0,0
38768244,0,0
38769257,0,0
38770245,0,0
38771250,0,0
38772253,0,0
38773254,0,0
38774293,0,0
38775290,0,0
38776270,0,0
38777272,0,0
38778272,0,0
38779271,0,0
38780288,0,0
38781313,0,0
38782313,0,0
38783294,0,0
38784295,0,0
38785301,0,0
38786300,0,0
38787311,0,0
38788332,0,0
38789314,0,0
38790331,0,0
38791331,0,0
38792342,0,0
38793342,0,0
38794377,0,0
38795359,0,0
38796356,0,0
38797369,0,0
38798370,0,0
38799373,0,0
38800378,0,0
38801416,0,0
38802417,0,0
38803392,0,0
38804397,0,0
38805406,0,0
38806406,0,0
38807438,0,0
38808420,0,0
38809420,0,0
38810427,0,0
38811434,0,0
38812439,0,0
38813440,0,0
38814481,0,0
38815485,0,0
38816465,0,0
38817485,0,0
38818484,0,0
38819489,0,0
38820499,0,0
38821502,0,0
38822519,0,0
38823503,0,0
38824516,0,0
38825524,0,0
38826537,0,0
38827575,0,0
38828557,0,0
38829550,0,0
38830565,0,0
38831557,0,0
38832559,0,0
38833567,0,0
38834604,0,0
38835584,0,0
38836587,0,0
38837595,0,0
38838595,0,0
38839594,0,0
38840601,0,0
38841636,0,0
38842603,0,0
38843605,0,0
38844606,0,0
38845613,0,0
38846607,0,0
38847649,0,0
38848629,0,0
38849619,0,0
38850622,0,0
38851623,0,0
38852628,0,0
38853634,0,0
38854671,0,0
38855643,0,0
38856643,0,0
38857649,0,0
38858655,0,0
38859660,0,0
38860676,0,0
38861676,0,0
38862667,0,0
38863673,0,0
38864679,0,0
38865691,0,0
38866688,0,0
38867723,0,0
38868715,0,0
38869702,0,0
38870702,0,0
38871705,0,0
38872707,0,0
38873707,0,0
38874735,0,0
38875739,0,0
38876722,0,0
38877725,0,0
38878734,0,0
38879739,0,0
38880776,0,0
38881777,0,0
38882767,0,0
38883769,0,0
38884776,0,0
38885782,0,0
38886782,0,0
38887823,0,0
38888797,0,0
38889804,0,0
38890807,0,0
38891820,0,0
38892818,0,0
38893824,0,0
38894860,0,0
38895833,0,0
38896837,0,0
38897847,0,0
38898853,0,0
38899852,0,0
38900877,0,0
38901902,0,0
38902885,0,0
38903888,0,0
38904890,0,0
38905899,0,0
38906900,0,0
38907940,0,0
38908923,0,0
38909919,0,0
38910923,0,0
38911923,0,0
38912934,0,0
38913937,0,0
38914982,0,0
38916075,0,0
38917071,0,0
38918078,0,0
38919104,0,0
38920104,0,0
38921138,0,0
38922124,0,0
38923111,0,0
38924118,0,0
38925125,0,0
38926132,0,0
38927134,0,0
38928177,0,0
38929148,0,0
38930150,0,0
38931153,0,0
38932164,0,0
38933164,0,0
38934200,0,0
38935214,0,0
38936190,0,0
38937189,0,0
38938196,0,0
38939208,0,0
38940212,0,0
38941248,0,0
38942225,0,0
38943221,0,0
38944220,0,0
38945228,0,0
38946238,0,0
38947234,0,0
38948272,0,0
38949248,0,0
38950251,0,0
38951250,0,0
38952255,0,0
38953262,0,0
38954298,0,0
38955293,0,0
38956277,0,0
38957272,0,0
38958279,0,0
38959288,0,0
38960295,0,0
38961338,0,0
38962305,0,0
38963318,0,0
38964317,0,0
38965332,0,0
38966346,0,0
38967375,0,0
38968349,0,0
38969367,0,0
38970355,0,0
38971365,0,0
38972364,0,0
38973365,0,0
38974403,0,0
38975383,0,0
38976387,0,0
38977382,0,0
38978384,0,0
38979395,0,0
38980404,0,0
38981433,0,0
38982407,0,0
38983408,0,0
38984415,0,0
38985419,0,0
38986430,0,0
38987457,0,0
38988449,0,0
38989453,0,0
38990442,0,0
38991446,0,0
38992455,0,0
38993455,0,0
38994493,0,0
38995476,0,0
38996470,0,0
38997469,0,0
38998474,0,0
38999481,0,0
39000485,0,0
39001511,0,0
39002482,0,0
39003490,0,0
39004494,0,0
39005494,0,0
39006500,0,0
39007528,0,0
39008561,0,0
39009504,0,0
39010510,0,0
39011532,0,0
39012532,0,0
39013534,0,0
39014570,0,0
39015552,0,0
39016553,0,0
39017547,0,0
39018550,0,0
39019554,0,0
39020564,0,0
39021597,0,0
39022568,0,0
39023577,0,0
39024578,0,0
39025580,0,0
39026589,0,0
39027614,0,0
39028600,0,0
39029594,0,0
39030597,0,0
39031602,0,0
39032611,0,0
39033606,0,0
39034646,0,0
39035618,0,0
39036629,0,0
